English Name,Scientific Name,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,eBird English Name 2022,eBird Scientific Name 2022,BLI English Name 2022,BLI Scientific Name 2022,Order,Family,Breeding Activity Period,Non-breeding Activity Period,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,1% Population Threshold,Selected for SoIB,Selected for Long-term Trend,Selected for Current Annual Trend,Long-term Trend LCI,Long-term Trend Mean,Long-term Trend UCI,Current Annual Trend LCI,Current Annual Trend Mean,Current Annual Trend UCI,Distribution Range Size LCI,Distribution Range Size Mean,Distribution Range Size UCI,Number of Grids,Range Coverage (Pre-2000),Range Coverage (Current),Range Coverage (2022),Grid Coverage Mean,Grid Coverage CI,Projected % Decline in 3 Generations,Regional Red List Category,SoIB 2020 Concern Status,SoIB 2020 Long-term Trend Status,SoIB 2020 Current Annual Trend Status,SoIB 2020 Distribution Range Size Status
Finsch's Wheatear,Oenanthe finschii,,,,,Finsch's Wheatear,Oenanthe finschii,Finsch's Wheatear,Oenanthe finschii,Passeriformes,Muscicapidae (Old World Flycatchers),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Red-tailed Wheatear,Oenanthe chrysopygia,,,,,Persian Wheatear,Oenanthe chrysopygia,Red-tailed Wheatear,Oenanthe chrysopygia,Passeriformes,Muscicapidae (Old World Flycatchers),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Grassland & Scrub,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,30,17,33,37,11,2,,,,,,
Bohemian Waxwing,Bombycilla garrulus,,,,,Bohemian Waxwing,Bombycilla garrulus,Bohemian Waxwing,Bombycilla garrulus,Passeriformes,Bombycillidae (Waxwings),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Uncertain,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Grey Hypocolius,Hypocolius ampelinus,Moderate,Insufficient Data,Insufficient Data,Restricted,Hypocolius,Hypocolius ampelinus,Hypocolius,Hypocolius ampelinus,Passeriformes,Hypocoliidae (Hypocolius),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Winter Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,8830,9440,10050,16,19,30,25,13,3,,,,,,
Thick-billed Flowerpecker,Dicaeum agile,High,Decline,Rapid Decline,Large,Thick-billed Flowerpecker,Dicaeum agile,Thick-billed Flowerpecker,Dicaeum agile,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-58.8,-52.1,-44.3,-6.1,-4.9,-3.8,898950,899650,900350,1107,7,34,50,13,0,32,,Moderate,Moderate Decline,Uncertain,Large
Yellow-vented Flowerpecker,Dicaeum chrysorrheum,,,,,Yellow-vented Flowerpecker,Dicaeum chrysorrheum,Yellow-vented Flowerpecker,Dicaeum chrysorrheum,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Summer Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,40,12,25,38,11,2,,,,,,
Yellow-bellied Flowerpecker,Dicaeum melanozanthum,,,,,Yellow-bellied Flowerpecker,Dicaeum melanozanthum,Yellow-bellied Flowerpecker,Dicaeum melanozanthum,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,34,6,19,32,13,2,,,,,,
Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Low,Trend Inconclusive,Stable,Large,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Fruit & Nect,Indian Subcontinent,FALSE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,6.4,20.2,36.3,-1.5,-0.2,1.2,972060,972580,973100,1432,7,44,59,12,0,,,Low,Stable,Strong Increase,Large
Nilgiri Flowerpecker,Dicaeum concolor,Low,Trend Inconclusive,Stable,Moderate,Nilgiri Flowerpecker,Dicaeum concolor,Nilgiri Flowerpecker,Dicaeum concolor,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Fruit & Nect,Western Ghats,TRUE,TRUE,FALSE,Non-specialized,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-45.6,-34.2,-19.7,-1,1.3,3.7,124590,124760,124930,259,23,59,67,19,1,,,Moderate,Moderate Decline,Uncertain,Moderate
Plain Flowerpecker,Dicaeum minullum,Low,Insufficient Data,Trend Inconclusive,Moderate,Plain Flowerpecker,Dicaeum minullum,Plain Flowerpecker,Dicaeum minullum,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,TRUE,,,,-5.6,-3.2,-0.7,129140,129890,130640,165,7,26,41,10,1,,,Low,Data Deficient,Uncertain,Moderate
Andaman Flowerpecker,Dicaeum virescens,Moderate,Trend Inconclusive,Trend Inconclusive,Restricted,Andaman Flowerpecker,Dicaeum virescens,Not at species rank,Dicaeum minullum virescens,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Fruit & Nect,Andaman Islands,TRUE,TRUE,FALSE,Forest,Resident,TRUE,Not Recognised,Schedule-II,,,,TRUE,TRUE,TRUE,9.5,33.6,62.1,-4.8,-1.5,1.9,5030,5030,5030,26,8,56,85,6,2,,,Moderate,Data Deficient,Uncertain,Restricted
Fire-breasted Flowerpecker,Dicaeum ignipectus,Low,Stable,Stable,Moderate,Fire-breasted Flowerpecker,Dicaeum ignipectus,Fire-breasted Flowerpecker,Dicaeum ignipectus,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-34.9,-15.6,10.8,-3.3,-0.9,1.5,139190,139630,140070,219,8,34,47,11,1,,,Low,Uncertain,Uncertain,Moderate
Scarlet-backed Flowerpecker,Dicaeum cruentatum,Low,Stable,Trend Inconclusive,Moderate,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Scarlet-backed Flowerpecker,Dicaeum cruentatum,Passeriformes,Dicaeidae (Flowerpeckers),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-28,-7.6,16.1,1.6,4.9,8.2,116130,116530,116930,190,9,33,52,10,1,,,Moderate,Uncertain,Strong Decline,Moderate
Ruby-cheeked Sunbird,Chalcoparia singalensis,Low,Insufficient Data,Insufficient Data,Moderate,Ruby-cheeked Sunbird,Chalcoparia singalensis,Ruby-cheeked Sunbird,Chalcoparia singalensis,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,92400,93030,93660,129,7,29,51,10,1,,,Low,Data Deficient,Uncertain,Moderate
Purple-rumped Sunbird,Leptocoma zeylonica,Low,Trend Inconclusive,Trend Inconclusive,Very Large,Purple-rumped Sunbird,Leptocoma zeylonica,Purple-rumped Sunbird,Leptocoma zeylonica,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Fruit & Nect,Indian Subcontinent,FALSE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,16.2,31.1,47.5,0.7,2.1,3.4,1305630,1305980,1306330,2040,9,49,66,10,0,,,Low,Stable,Uncertain,Very Large
Crimson-backed Sunbird,Leptocoma minima,Moderate,Decline,Trend Inconclusive,Moderate,Crimson-backed Sunbird,Leptocoma minima,Crimson-backed Sunbird,Leptocoma minima,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Fruit & Nect,Western Ghats,TRUE,TRUE,FALSE,Forest & Plantation,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-66,-57.5,-46.5,-2.1,0.6,3.3,129310,129500,129690,262,23,61,74,18,1,,,Moderate,Strong Decline,Uncertain,Moderate
Van Hasselt's Sunbird,Leptocoma brasiliana,,,,,Van Hasselt's Sunbird,Leptocoma brasiliana,Maroon-bellied Sunbird,Leptocoma brasiliana,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,5,20,30,40,7,3,,,,,,
Purple Sunbird,Cinnyris asiaticus,Low,Increase,Trend Inconclusive,Very Large,Purple Sunbird,Cinnyris asiaticus,Purple Sunbird,Cinnyris asiaticus,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,49.8,66.1,85.4,0.4,1.8,3.1,1794260,1794600,1794940,3395,8,47,65,9,0,,,Low,Stable,Stable,Very Large
Olive-backed Sunbird,Cinnyris jugularis,Moderate,Insufficient Data,Insufficient Data,Restricted,Olive-backed Sunbird,Cinnyris jugularis,Olive-backed Sunbird,Cinnyris jugularis,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,TRUE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,8320,8380,8440,44,25,49,73,5,1,,,,,,
Loten's Sunbird,Cinnyris lotenius,Low,Trend Inconclusive,Rapid Increase,Large,Loten's Sunbird,Cinnyris lotenius,Loten's Sunbird,Cinnyris lotenius,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Fruit & Nect,Indian Subcontinent,FALSE,TRUE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-40,-29.1,-16.9,3,5.1,7.2,306260,306690,307120,491,15,56,74,16,1,,,Low,Stable,Uncertain,Large
Fire-tailed Sunbird,Aethopyga ignicauda,Low,Insufficient Data,Trend Inconclusive,Moderate,Fire-tailed Sunbird,Aethopyga ignicauda,Fire-tailed Sunbird,Aethopyga ignicauda,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,TRUE,,,,-5.6,-3.1,-0.7,55340,55760,56180,88,15,41,52,13,1,,,Low,Data Deficient,Uncertain,Moderate
Black-throated Sunbird,Aethopyga saturata,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Black-throated Sunbird,Aethopyga saturata,Black-throated Sunbird,Aethopyga saturata,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-17.6,11.1,48.6,-1,2.6,6.2,94700,95160,95620,153,14,34,49,11,1,,,Low,Data Deficient,Uncertain,Moderate
Mrs Gould's Sunbird,Aethopyga gouldiae,Low,Insufficient Data,Trend Inconclusive,Moderate,Mrs. Gould's Sunbird,Aethopyga gouldiae,Gould's Sunbird,Aethopyga gouldiae,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,TRUE,,,,-6,-3.2,-0.5,75920,76420,76920,112,12,35,44,11,1,,,Low,Data Deficient,Uncertain,Moderate
Green-tailed Sunbird,Aethopyga nipalensis,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Green-tailed Sunbird,Aethopyga nipalensis,Green-tailed Sunbird,Aethopyga nipalensis,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-9.2,16.6,50.4,-4.1,-2.1,0,81630,81970,82310,143,14,41,55,11,1,,,Low,Uncertain,Uncertain,Moderate
Vigors's Sunbird,Aethopyga vigorsii,Low,Insufficient Data,Stable,Moderate,Vigors's Sunbird,Aethopyga vigorsii,Sahyadri Sunbird,Aethopyga vigorsii,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Omnivore,Western Ghats,TRUE,TRUE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,TRUE,,,,-3.6,-1.5,0.6,74160,74520,74880,122,8,53,62,14,1,,,Low,Data Deficient,Uncertain,Moderate
Crimson Sunbird,Aethopyga siparaja,Low,Stable,Trend Inconclusive,Large,Crimson Sunbird,Aethopyga siparaja,Crimson Sunbird,Aethopyga siparaja,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-1.1,16.8,38.5,-3.3,-1.9,-0.4,273060,273570,274080,412,9,38,53,11,1,,,Low,Uncertain,Uncertain,Large
Little Spiderhunter,Arachnothera longirostra,Moderate,Rapid Decline,Trend Inconclusive,Moderate,Little Spiderhunter,Arachnothera longirostra,Little Spiderhunter,Arachnothera longirostra,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-69.2,-62.5,-54.3,-4.2,-2.3,-0.5,214590,215000,215410,345,14,44,58,14,1,,,Moderate,Strong Decline,Uncertain,Moderate
Streaked Spiderhunter,Arachnothera magna,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Streaked Spiderhunter,Arachnothera magna,Streaked Spiderhunter,Arachnothera magna,Passeriformes,Nectariniidae (Sunbirds and Spiderhunters),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-44.7,-29.6,-10.8,-4.2,-2.2,-0.1,127010,127470,127930,194,14,32,48,9,1,,,Low,Uncertain,Uncertain,Moderate
Asian Fairy-bluebird,Irena puella,Moderate,Decline,Stable,Moderate,Asian Fairy-bluebird,Irena puella,Asian Fairy-bluebird,Irena puella,Passeriformes,Irenidae (Fairy-bluebirds),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-56.4,-47.5,-35.5,-2.3,-0.4,1.6,163890,164150,164410,301,22,54,65,16,1,,,Moderate,Moderate Decline,Uncertain,Moderate
Blue-winged Leafbird,Chloropsis cochinchinensis,Moderate,Insufficient Data,Insufficient Data,Restricted,Blue-winged Leafbird,Chloropsis cochinchinensis,Blue-winged Leafbird,Chloropsis moluccensis,Passeriformes,Chloropseidae (Leafbirds),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,38690,39290,39890,53,15,31,47,10,2,,,,,,
Jerdon's Leafbird,Chloropsis jerdoni,Low,Decline,Stable,Large,Jerdon's Leafbird,Chloropsis jerdoni,Jerdon's Leafbird,Chloropsis jerdoni,Passeriformes,Chloropseidae (Leafbirds),Diurnal,Diurnal,Fruit & Nect,Indian Subcontinent,FALSE,TRUE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-47.3,-38.5,-28,-2.2,-0.6,1,708920,709570,710220,930,8,38,51,13,0,,,Moderate,Moderate Decline,Uncertain,Large
Golden-fronted Leafbird,Chloropsis aurifrons,Low,Trend Inconclusive,Stable,Large,Golden-fronted Leafbird,Chloropsis aurifrons,Golden-fronted Leafbird,Chloropsis aurifrons,Passeriformes,Chloropseidae (Leafbirds),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-46.1,-36.2,-24.9,-2.8,-1.3,0.3,527680,528140,528600,791,14,45,60,13,1,,,Low,Stable,Uncertain,Large
Orange-bellied Leafbird,Chloropsis hardwickii,Moderate,Stable,Decline,Moderate,Orange-bellied Leafbird,Chloropsis hardwickii,Orange-bellied Leafbird,Chloropsis hardwickii,Passeriformes,Chloropseidae (Leafbirds),Diurnal,Diurnal,Fruit & Nect,Non-endemic,FALSE,FALSE,FALSE,Forest,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-37.4,-19.8,3.3,-5.9,-3.8,-1.7,146720,147240,147760,213,12,33,47,10,1,16,,Low,Uncertain,Uncertain,Moderate
Streaked Weaver,Ploceus manyar,Moderate,Decline,Trend Inconclusive,Moderate,Streaked Weaver,Ploceus manyar,Streaked Weaver,Ploceus manyar,Passeriformes,Ploceidae (Weavers and Allies),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-62.5,-53.9,-43.4,-4.2,-2.3,-0.4,218560,218560,218560,418,6,31,41,15,1,,,Moderate,Uncertain,Strong Decline,Large
Baya Weaver,Ploceus philippinus,Low,Stable,Stable,Very Large,Baya Weaver,Ploceus philippinus,Baya Weaver,Ploceus philippinus,Passeriformes,Ploceidae (Weavers and Allies),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-12.2,-0.9,11.9,-0.2,1.1,2.5,1756050,1756580,1757110,2359,6,38,55,10,0,,,Low,Stable,Moderate Decline,Very Large
Finn's Weaver,Ploceus megarhynchus,High,Insufficient Data,Insufficient Data,Restricted,Finn's Weaver,Ploceus megarhynchus,Finn's Weaver,Ploceus megarhynchus,Passeriformes,Ploceidae (Weavers and Allies),Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Wetland,Resident,FALSE,Endangered,Schedule-I,,,,TRUE,FALSE,FALSE,,,,,,,6990,7920,8850,10,30,32,40,13,3,,,High,Data Deficient,Data Deficient,Restricted
Black-breasted Weaver,Ploceus benghalensis,Low,Stable,Stable,Large,Black-breasted Weaver,Ploceus benghalensis,Black-breasted Weaver,Ploceus benghalensis,Passeriformes,Ploceidae (Weavers and Allies),Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-36,-17.7,6.2,-3.7,-1.6,0.4,374470,375190,375910,416,3,31,44,12,1,,,Low,Data Deficient,Uncertain,Large
Indian Silverbill,Euodice malabarica,Low,Stable,Trend Inconclusive,Very Large,Indian Silverbill,Euodice malabarica,Indian Silverbill,Euodice malabarica,Passeriformes,Estrildidae (Waxbills and Allies),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-18.7,-8.8,2.5,-0.5,0.9,2.3,1715950,1716420,1716890,2424,6,39,54,9,0,,,Low,Stable,Uncertain,Very Large
Scaly-breasted Munia,Lonchura punctulata,Low,Increase,Trend Inconclusive,Very Large,Scaly-breasted Munia,Lonchura punctulata,Scaly-breasted Munia,Lonchura punctulata,Passeriformes,Estrildidae (Waxbills and Allies),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,44.7,64.7,86.6,1,2.6,4.3,1845670,1846180,1846690,2511,6,41,57,11,0,,,Low,Uncertain,Uncertain,Very Large
Black-throated Munia,Lonchura kelaarti,Low,Trend Inconclusive,Trend Inconclusive,Moderate,Black-throated Munia,Lonchura kelaarti,Black-throated Munia,Lonchura kelaarti,Passeriformes,Estrildidae (Waxbills and Allies),Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Forest,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-2.3,27.5,63.2,3.7,7.1,10.5,106080,106400,106720,177,8,55,69,20,1,,,Low,Data Deficient,Uncertain,Moderate
White-rumped Munia,Lonchura striata,Low,Stable,Stable,Large,White-rumped Munia,Lonchura striata,White-rumped Munia,Lonchura striata,Passeriformes,Estrildidae (Waxbills and Allies),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-13.6,0.2,15.6,-0.3,1.3,2.9,751750,752340,752930,1073,9,42,60,14,0,,,Moderate,Stable,Strong Decline,Large
Tricoloured Munia,Lonchura malacca,Low,Stable,Stable,Very Large,Tricolored Munia,Lonchura malacca,Tricoloured Munia,Lonchura malacca,Passeriformes,Estrildidae (Waxbills and Allies),Diurnal,Diurnal,Plant & Seed,Indian Subcontinent,FALSE,TRUE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-25,-7,14.3,-1.9,0.5,2.9,1070480,1071190,1071900,1252,5,35,51,13,0,,,Moderate,Uncertain,Strong Decline,Large
Chestnut Munia,Lonchura atricapilla,,,,,Chestnut Munia,Lonchura atricapilla,Chestnut Munia,Lonchura atricapilla,Passeriformes,Estrildidae (Waxbills and Allies),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Green Munia,Amandava formosa,High,Insufficient Data,Insufficient Data,Restricted,Green Avadavat,Amandava formosa,Green Avadavat,Amandava formosa,Passeriformes,Estrildidae (Waxbills and Allies),Diurnal,Diurnal,Plant & Seed,Central India,TRUE,TRUE,FALSE,Grassland & Scrub,Resident,FALSE,Vulnerable,Schedule-I,Appendix II,,,TRUE,FALSE,FALSE,,,,,,,11170,11750,12330,14,7,21,50,12,4,,,High,Data Deficient,Data Deficient,Very Restricted
Red Munia,Amandava amandava,Low,Trend Inconclusive,Stable,Very Large,Red Avadavat,Amandava amandava,Red Avadavat,Amandava amandava,Passeriformes,Estrildidae (Waxbills and Allies),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,5.4,29,58.5,-2.6,-0.5,1.6,1048870,1049490,1050110,1312,4,34,48,12,0,,,Low,Uncertain,Uncertain,Large
Alpine Accentor,Prunella collaris,Low,Insufficient Data,Trend Inconclusive,Moderate,Alpine Accentor,Prunella collaris,Alpine Accentor,Prunella collaris,Passeriformes,Prunellidae (Accentors),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,TRUE,,,,-5.6,-2.9,-0.2,89300,89800,90300,130,12,28,42,10,1,,,Low,Data Deficient,Uncertain,Moderate
Altai Accentor,Prunella himalayana,Moderate,Insufficient Data,Insufficient Data,Restricted,Altai Accentor,Prunella himalayana,Altai Accentor,Prunella himalayana,Passeriformes,Prunellidae (Accentors),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,27760,28220,28680,46,24,31,43,13,2,,,Moderate,Data Deficient,Data Deficient,Restricted
Robin Accentor,Prunella rubeculoides,Low,Insufficient Data,Insufficient Data,Moderate,Robin Accentor,Prunella rubeculoides,Robin Accentor,Prunella rubeculoides,Passeriformes,Prunellidae (Accentors),Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,62450,62800,63150,99,16,36,61,7,1,,,Low,Data Deficient,Uncertain,Moderate
Rufous-breasted Accentor,Prunella strophiata,Moderate,Decline,Trend Inconclusive,Moderate,Rufous-breasted Accentor,Prunella strophiata,Rufous-breasted Accentor,Prunella strophiata,Passeriformes,Prunellidae (Accentors),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-62.7,-49.9,-33.5,-1.7,2.2,6.1,130720,131210,131700,198,15,34,50,11,1,,,Low,Uncertain,Uncertain,Moderate
Brown Accentor,Prunella fulvescens,,,,,Brown Accentor,Prunella fulvescens,Brown Accentor,Prunella fulvescens,Passeriformes,Prunellidae (Accentors),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Alpine & Cold Desert,Resident & Altitudinal Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,84,13,28,52,7,1,,,,,,
Black-throated Accentor,Prunella atrogularis,,,,,Black-throated Accentor,Prunella atrogularis,Black-throated Accentor,Prunella atrogularis,Passeriformes,Prunellidae (Accentors),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,109,7,31,32,13,1,,,Moderate,Data Deficient,Data Deficient,
